person,current_company,past_company1,past_company2,past_company3,education,linkedin_group1,linkedin_group2,linkedin_group3,hobby1,hobby2,hobby3
Ginny Falasco,Volkswagen,BMW,Mercedes,,Technische Universität Berlin,Future trends,,,Cooking,Calligraphy,
Meredith Janiszewski,Toyota,Audi,Lexus,Porsche,Friedrich-Alexander-Universität Erlangen-Nürnberg,Kubernetes,,,Couch potatoing,Fencing,Dancing
Landon Tomjack,Mercedes,,,,Technische Universität München,NoSQL,TigerGraph,Automotive,Tennis,,
Vannessa Asaro,BMW,Toyota,Skoda,Microsoft,Universität Hamburg,Airline,Future trends,Retail,Darts,Car Racing,
Victor Semon,Toyota,Lexus,BMW,,Hochschule der Bundesagentur für Arbeit,NoSQL,,,Sailing,,
Madelaine Becks,Opel,Lexus,Skoda,,Technische Universität Kaiserslautern,Cloud,Big Data,,Train Spotting,Bicycling,
Chong Jernstad,Skoda,,,,Universität der Bundeswehr München,AI,GSQL,,Darts,Basketball,Tennis
Leanne Pehler,Opel,,,,Heinrich-Heine-Universität Düsseldorf,Big Data,,,Photography,Aeromodeling,Calligraphy
Krista Teeters,Seat,Audi,Porsche,Tesla,Technische Universität München,Graph Databases,,,Hiking,Traveling,
Aron Giandelone,Toyota,Audi,,,Universität Konstanz,Big Data,Industry trends,,Bowling,,
Lavona Giang,Volkswagen,Mercedes,,,Universität Freiburg,NoSQL,Retail,,Reading,TV watching,Basketball
Zula Bried,Seat,Skoda,Microsoft,,Johannes Gutenberg-Universität Mainz,Graph Databases,Industry trends,Kubernetes,Martial Arts,,
Tracy Boiles,Lexus,,,,Frankfurt University of Applied Sciences,Automotive,,,Bowling,Painting,Marathon
Eusebio Eifler,Seat,Opel,Volkswagen,Skoda,Hochschule Macromedia,Big Data,Airline,,Marathon,,
Shea Akbari,Skoda,,,,Fachhochschule Aachen,NoSQL,Big Data,AI,Parachuting,Dancing,
Lyman Schoenle,Mercedes,Audi,Skoda,Microsoft,Frankfurt University of Applied Sciences,Graph Databases,Future trends,GSQL,Snowboarding,Sailing,
Laura Bouie,Microsoft,Mercedes,,,Hochschule Neu-Ulm,Automotive,Retail,,Running,Sailing,
Karlene Rabinovich,Volkswagen,Porsche,TigerGraph,Skoda,Technische Hochschule Mittelhessen,Graph Databases,Security,,Football,Meditation,Rafting
Shara Wenner,Microsoft,,,,Heinrich-Heine-Universität Düsseldorf,AI,Kubernetes,,Aeromodeling,Stamp Collecting,
Virgina Eslinger,Porsche,Microsoft,,,Technische Universität Kaiserslautern,Big Data,Future trends,,Baseball,Sailing,Train Spotting
Odis Fordyce,Mercedes,,,,Technische Universität Braunschweig,Big Data,,,Paragliding,Train Spotting,Electronics
Iva Boughner,TigerGraph,BMW,Mercedes,,Technische Universität Braunschweig,NoSQL,Kubernetes,Big Data,Bicycling,Marathon,Horse riding
Cortez Schlotzhauer,Porsche,Mercedes,,,Beuth Hochschule für Technik Berlin,TigerGraph,,,Reading,Badminton,
Victor Ramaudar,BMW,,,,Universität München,Security,,,Calligraphy,,
Elizbeth Bellish,Skoda,,,,Technische Universität München,Analytics,Future trends,Automotive,TV watching,,
Ella Minic,Audi,,,,Brand Academy - Hochschule für Design und Kommunikation,Big Data,Automotive,,Hiking,Horse riding,Car Racing
Jenice Lisena,Mercedes,Audi,Microsoft,Tesla,Fachhochschule Aachen,AI,Airline,,Paragliding,,
Delpha Doehring,Seat,Lexus,,,Johannes Gutenberg-Universität Mainz,Graph Databases,Airline,Kubernetes,Couch potatoing,Cooking,
Anja Cornette,Tesla,Toyota,Audi,Mercedes,Technische Universität Kaiserslautern,NoSQL,TigerGraph,,Couch potatoing,,
Jacquelyn Winokur,Audi,Opel,,,Universität Ulm,Graph Databases,,,Train Spotting,,
Annalee Ekas,Opel,BMW,,,Universität Augsburg,Cloud,Airline,Analytics,Chilling,Cooking,
Star Ulwelling,Toyota,Seat,Lexus,Opel,Hochschule Neu-Ulm,Graph Databases,Automotive,,Bicycling,,
Harvey Warde,Porsche,Skoda,Mercedes,,Hochschule Rosenheim,Kubernetes,GSQL,Retail,Brewing Beer,,
Yung Sturgell,Porsche,,,,Fachhochschule Aachen,TigerGraph,Future trends,,Reading,Kayaking,Marathon
Anh Mattinson,Toyota,Volkswagen,Mercedes,,Technische Universität München,Kubernetes,GSQL,,Reading,Sailing,
Reena Lundy,Tesla,Seat,Audi,Microsoft,Beuth Hochschule für Technik Berlin,Airline,TigerGraph,Retail,Running,Golf,Basketball
Sherley Sharbono,BMW,Microsoft,,,Technische Universität Darmstadt,Cloud,AI,Future trends,Meditation,Reading,Badminton
Bruno Hanscom,Toyota,Lexus,Skoda,Microsoft,Hochschule Macromedia,Analytics,Industry trends,Airline,Baseball,,
Brenda Wittmann,Toyota,Opel,Lexus,Seat,Hochschule Rosenheim,AI,Security,,Football,Electronics,
Lynelle Dickeson,Toyota,Seat,Lexus,Tesla,Munich Business School,Airline,,,Darts,,
Donnell Borrow,Opel,Audi,,,Universität Leipzig,NoSQL,AI,,TV watching,,
Tomika Tenerovich,Tesla,,,,Philipps-Universität Marburg,Graph Databases,TigerGraph,Security,Chilling,,
Jenny Byrom,Mercedes,Skoda,Microsoft,,Hochschule Fresenius,AI,Future trends,,Aeromodeling,Sailing,
Lawrence Munder,Lexus,Volkswagen,,,Munich Business School,TigerGraph,GSQL,,Darts,Basketball,Rafting
Soledad Tarris,Mercedes,TigerGraph,Microsoft,,Hochschule Macromedia,Airline,,,Chilling,Marathon,
Lashanda Bohannan,Toyota,Skoda,,,Universität Passau,AI,Graph Databases,Automotive,Electronics,,
Thresa Froiland,Tesla,Lexus,Mercedes,,Brand Academy - Hochschule für Design und Kommunikation,Kubernetes,Airline,TigerGraph,Relaxing,,
Robt Tryninewski,Tesla,Mercedes,Seat,Microsoft,Johannes Gutenberg-Universität Mainz,AI,Airline,Security,Skateboarding,Kayaking,
Eden Crute,Toyota,Opel,Skoda,Microsoft,Munich Business School,Security,,,Train Spotting,Badminton,
Bobbye Villasenor,Seat,Porsche,Mercedes,,Fachhochschule Aachen,Graph Databases,Kubernetes,,Darts,TV watching,
January Santamaria,Seat,BMW,Audi,,Universität Ulm,Analytics,,,Kite Boarding,Bicycling,
George Leemow,Toyota,Seat,,,Hochschule der Bundesagentur für Arbeit,AI,Airline,Retail,Stamp Collecting,,
Aline Danekas,Lexus,Volkswagen,,,Leibniz-Fachhochschule,Airline,Retail,,Kayaking,,
Eileen Stodola,Seat,Opel,,,Technische Universität Darmstadt,Big Data,,,Kite Boarding,Basketball,Aeromodeling
Willy Whites,Toyota,Opel,Audi,Mercedes,Technische Universität München,Analytics,Automotive,,Baseball,,
Analisa Tuffin,Toyota,Audi,,,Hochschule Neu-Ulm,AI,Big Data,,Skiing,,
Alethea Chadburn,Volkswagen,,,,Brand Academy - Hochschule für Design und Kommunikation,AI,,,TV watching,,
Calandra Underdahl,Opel,TigerGraph,,,Universität Stuttgart,Big Data,Future trends,,Gardening,Painting,Rafting
Carey Wilhide,Volkswagen,Microsoft,Tesla,,Universität München,Graph Databases,Airline,,Kite Boarding,Fishing,Relaxing
Errol Spiter,Microsoft,,,,Hochschule Neu-Ulm,Airline,TigerGraph,Automotive,Kite Boarding,Martial Arts,Traveling
Melda Kaercher,Toyota,,,,Universität Augsburg,NoSQL,Big Data,TigerGraph,Brewing Beer,Playing music,
Rose Egge,Opel,,,,Universität Erfurt,Analytics,Security,NoSQL,Chilling,Tennis,
Fleta Sulit,Toyota,Audi,Mercedes,,Munich Business School,Big Data,Airline,Retail,Motorcycles,Basketball,
Quinn Angley,Toyota,TigerGraph,,,Universität Freiburg,Airline,Future trends,Retail,Electronics,Fencing,Horse riding
Elvis Cheu,Audi,Skoda,,,Johannes Gutenberg-Universität Mainz,AI,Big Data,,Car Racing,,
Jessie Beddow,Seat,Audi,Porsche,,Hochschule Neu-Ulm,Future trends,,,Bicycling,,
Wanita Fugua,Lexus,TigerGraph,Skoda,,Philipps-Universität Marburg,Cloud,AI,GSQL,Chilling,Reading,
Malvina Regn,Audi,TigerGraph,,,Hochschule Esslingen,Cloud,Automotive,,Mountain Biking,Kayaking,Running
Robbie Vise,Toyota,Seat,Lexus,,Johannes Gutenberg-Universität Mainz,NoSQL,Kubernetes,GSQL,Football,Electronics,
Bev Daws,TigerGraph,BMW,Mercedes,,Fachhochschule Dortmund,Kubernetes,TigerGraph,Automotive,Couch potatoing,TV watching,
Royce Bonanni,Audi,Porsche,TigerGraph,Mercedes,Munich Business School,Future trends,,,Marathon,,
Davis Polter,Opel,Mercedes,,,Leibniz-Fachhochschule,Kubernetes,Future trends,,Hiking,Astronomy,Rafting
Lorrie Debey,Opel,Microsoft,,,Technische Hochschule Mittelhessen,Cloud,Future trends,Automotive,Motorcycles,Robotics,
Reyes Matier,Porsche,,,,Universität Erfurt,Analytics,Graph Databases,Retail,Mountain Biking,Bicycling,Car Racing
Elouise Hanscom,Opel,,,,Frankfurt University of Applied Sciences,Analytics,GSQL,,Hiking,Kite Boarding,Robotics
Tatiana Declet,BMW,Audi,Porsche,Skoda,Beuth Hochschule für Technik Berlin,Graph Databases,Future trends,Big Data,Running,Reading,Cooking
Celena Linza,Opel,TigerGraph,,,Universität Erfurt,Industry trends,GSQL,,Bowling,Dancing,Geocaching
Miesha Doornbos,Tesla,,,,Universität Leipzig,Analytics,Kubernetes,Retail,Reading,Bicycling,
Royce Spene,Skoda,Mercedes,,,Universität Passau,Security,,,Photography,Tennis,Playing music
Celesta Sundby,Mercedes,Volkswagen,Skoda,Microsoft,Heinrich-Heine-Universität Düsseldorf,Graph Databases,TigerGraph,,Skateboarding,Robotics,Traveling
Nelia Louden,Tesla,Toyota,Opel,Mercedes,Friedrich-Alexander-Universität Erlangen-Nürnberg,AI,Automotive,Retail,Robotics,,
Elisabeth Dauzart,Toyota,Audi,Lexus,Porsche,Universität Hamburg,Future trends,,,Motorcycles,Car Racing,
Lajuana Grudzinski,Mercedes,Porsche,Skoda,Microsoft,Technische Hochschule Mittelhessen,TigerGraph,GSQL,,Motorcycles,Cooking,Kayaking
Clarissa Wendorff,Volkswagen,,,,Universität Ulm,AI,,,Brewing Beer,,
Melvin Schwerdt,Toyota,Seat,BMW,,Zeppelin University,Kubernetes,Airline,Automotive,Kite Boarding,Martial Arts,Rafting
Shonda Wymer,Toyota,Lexus,,,Heinrich-Heine-Universität Düsseldorf,Future trends,,,Snowboarding,Stamp Collecting,Kayaking
Laraine Darnstaedt,Tesla,Volkswagen,Mercedes,,Hochschule Macromedia,Future trends,,,Fencing,,
Halley Angiano,BMW,,,,FernUniversität in Hagen,NoSQL,Kubernetes,Airline,Chilling,Snowboarding,Painting
Candy Fleischhacker,Toyota,Audi,Porsche,,Johannes Gutenberg-Universität Mainz,NoSQL,Graph Databases,,Tennis,Bicycling,
Cesar Iwanski,Porsche,BMW,,,FernUniversität in Hagen,Big Data,,,Snowboarding,Stamp Collecting,Playing music
Shalanda Tall,Porsche,Skoda,Mercedes,,Technische Universität Kaiserslautern,Analytics,GSQL,,Couch potatoing,Electronics,
Felton Hillan,BMW,Volkswagen,Microsoft,Mercedes,Universität Augsburg,NoSQL,,,Painting,TV watching,
Ha Strumpf,Audi,,,,Frankfurt University of Applied Sciences,Cloud,,,Meditation,Golf,
Nanette Mcalhaney,Toyota,,,,Universität der Bundeswehr München,Automotive,,,Running,Baseball,Kayaking
Karl Deare,Seat,Tesla,,,Hochschule Macromedia,Automotive,,,Sailing,,
Cary Barentine,Tesla,,,,Technische Universität München,Big Data,Airline,Security,Fencing,Horse riding,
Taunya Bahri,Toyota,Microsoft,,,Hochschule Landshut,Security,Automotive,Retail,Paragliding,,
Val Bairo,Opel,Tesla,,,Frankfurt University of Applied Sciences,Future trends,,,Motorcycles,,
Shaina Mcdermid,Seat,Volkswagen,BMW,Mercedes,Hochschule Rosenheim,NoSQL,Future trends,,Fishing,Martial Arts,Motorcycles
Lori Schibi,Mercedes,Porsche,Volkswagen,Tesla,Universität Leipzig,Future trends,,,Hiking,Basketball,Kayaking
Rochelle Riggers,Audi,,,,Fachhochschule Dortmund,Security,,,Rafting,Painting,TV watching
Justina Gethers,Seat,Audi,TigerGraph,Microsoft,Universität Würzburg,Graph Databases,TigerGraph,Big Data,Martial Arts,,
Dulce Guieb,Mercedes,,,,Philipps-Universität Marburg,Airline,Automotive,,Brewing Beer,Dancing,Scuba Diving
Princess Lapeyrouse,Toyota,Volkswagen,Porsche,Mercedes,Universität München,Big Data,Future trends,AI,Fencing,Horse riding,Badminton
Bradford Eiben,Seat,TigerGraph,Skoda,Tesla,Universität der Bundeswehr München,Kubernetes,TigerGraph,,Kayaking,Calligraphy,
Milagros Cornelius,Lexus,,,,Hochschule Rosenheim,NoSQL,Future trends,Analytics,Bowling,Martial Arts,Aeromodeling
Jospeh Salazak,Microsoft,,,,Universität Passau,Automotive,,,Reading,Fencing,
Lynda Blackham,Toyota,Opel,Lexus,Microsoft,Universität der Bundeswehr München,Automotive,,,Kite Boarding,Calligraphy,
Nerissa Gaukroger,Opel,,,,Zeppelin University,Industry trends,Future trends,,Basketball,,
Caron Amor,Lexus,Volkswagen,BMW,Mercedes,Technische Universität Berlin,Graph Databases,Industry trends,Security,Mountain Biking,Football,Fishing
Talitha Timmel,Toyota,Volkswagen,Microsoft,,Leibniz-Fachhochschule,Kubernetes,GSQL,,Football,Golf,Kayaking
Quinn Comp,Porsche,Microsoft,Tesla,,Technische Hochschule Mittelhessen,Kubernetes,,,Chess,Stamp Collecting,
Sallie Johnson,Skoda,BMW,,,Munich Business School,Graph Databases,Airline,,Reading,,
Katelin Calcano,Lexus,TigerGraph,,,Hochschule Landshut,Analytics,Airline,Retail,Baseball,,
Loraine Lucksom,Toyota,Audi,Volkswagen,BMW,Technische Universität München,Graph Databases,Security,GSQL,Meditation,Martial Arts,
Brendan Nasaire,Porsche,Skoda,,,Universität Leipzig,Cloud,Graph Databases,Industry trends,Running,Skateboarding,
Arielle Ditmars,BMW,Volkswagen,Skoda,Microsoft,Hochschule Neu-Ulm,Airline,,,Mountain Biking,TV watching,
Jewell Gaona,Toyota,Volkswagen,Porsche,,Universität Augsburg,Industry trends,TigerGraph,Future trends,Dog walking,Reading,Martial Arts
Valentine Westerbeck,TigerGraph,,,,Heinrich-Heine-Universität Düsseldorf,GSQL,,,Fencing,,
Oretha Gilfillan,Seat,Volkswagen,Opel,Tesla,Universität zu Köln,Security,,,Chilling,Calligraphy,
Josefina Hadfield,Opel,Volkswagen,,,Zeppelin University,Cloud,TigerGraph,,Rafting,,
Terri Latigo,BMW,Audi,Skoda,,Munich Business School,TigerGraph,,,Brewing Beer,Golf,
Tressa Crim,Porsche,Volkswagen,,,Hochschule der Bundesagentur für Arbeit,Cloud,Automotive,,Couch potatoing,Snowboarding,Motorcycles
Kendall Singerman,Tesla,,,,Technische Universität Kaiserslautern,NoSQL,Airline,,Calligraphy,,
Blake Newbauer,Volkswagen,Porsche,TigerGraph,,FernUniversität in Hagen,Analytics,Automotive,GSQL,Skiing,,
Carolee Alires,Volkswagen,Mercedes,,,Philipps-Universität Marburg,Airline,,,Painting,,
Rachel Crissman,Lexus,BMW,,,Heinrich-Heine-Universität Düsseldorf,Big Data,,,Parachuting,Gardening,
Cristina Cosgrove,Volkswagen,Tesla,,,Universität zu Köln,Cloud,NoSQL,,Fishing,,
Hal Savant,Skoda,Tesla,,,Universität Würzburg,Cloud,TigerGraph,Retail,Bicycling,,
Felecia Bartosik,Mercedes,Lexus,Porsche,Tesla,Technische Universität Darmstadt,Analytics,TigerGraph,Cloud,Electronics,,
Blake Halsted,Seat,TigerGraph,Tesla,,Technische Universität München,Airline,,,Kayaking,,
Teena Didway,Toyota,Audi,Mercedes,,Goethe-Universität Frankfurt am Main,Automotive,,,Geocaching,Basketball,
Malia Colbeth,Audi,Lexus,Volkswagen,Mercedes,Fachhochschule Aachen,Kubernetes,Airline,AI,Parachuting,Sailing,Astronomy
Rheba Spracklin,Audi,Lexus,Opel,Mercedes,Universität Augsburg,Analytics,Security,,Astronomy,Aeromodeling,Robotics
Edris Wahington,TigerGraph,BMW,,,Universität Stuttgart,Airline,,,Darts,,
Miesha Mackowski,Volkswagen,,,,Universität zu Köln,Cloud,AI,,Golf,Hunting,
Michell Vogler,Audi,Skoda,Mercedes,,Hochschule für angewandte Wissenschaften München,Graph Databases,,,Paragliding,Brewing Beer,Robotics
Verdell Rasmuson,Lexus,Microsoft,Tesla,,Johannes Gutenberg-Universität Mainz,Graph Databases,,,Train Spotting,Cooking,Astronomy
Don Seymour,Toyota,,,,Leibniz-Fachhochschule,Big Data,Retail,,Snowboarding,,
Nola Gillet,TigerGraph,Microsoft,,,Philipps-Universität Marburg,Kubernetes,Future trends,,Relaxing,Kayaking,Rafting
Hope Keawe,TigerGraph,Volkswagen,BMW,Tesla,Hochschule Esslingen,Big Data,TigerGraph,GSQL,Couch potatoing,Parachuting,Calligraphy
Trenton Scarlata,BMW,Tesla,,,Universität Passau,Airline,,,Chilling,Fishing,
Stormy Israel,Tesla,,,,Heinrich-Heine-Universität Düsseldorf,Retail,,,Gardening,,
Janice Wiltberger,Toyota,TigerGraph,Skoda,Mercedes,Universität zu Lübeck,AI,Future trends,,Brewing Beer,Stamp Collecting,
Joshua Croan,Porsche,Skoda,,,Fachhochschule Dortmund,Cloud,Automotive,,Car Racing,,
Eusebio Renegar,Seat,Lexus,BMW,,Universität München,Analytics,Airline,NoSQL,Darts,Calligraphy,
Curtis Hodum,Porsche,TigerGraph,,,Universität Leipzig,Graph Databases,Automotive,,Darts,Running,
Virgil Browen,Seat,BMW,Tesla,,Universität Regensburg,NoSQL,,,Paragliding,,
Tonette Zimmermann,Audi,Microsoft,,,Technische Universität Braunschweig,Airline,Future trends,GSQL,Golf,,
Brigida Dees,Tesla,Seat,BMW,Mercedes,Technische Universität Braunschweig,Analytics,Future trends,Cloud,Gardening,Stamp Collecting,
Karri Steinkamp,Tesla,,,,Universität Regensburg,Analytics,Industry trends,,Brewing Beer,Gardening,
Erin Stonum,Seat,Opel,Skoda,,Universität Passau,Analytics,Graph Databases,Future trends,Fishing,Relaxing,
Trinidad Kovack,TigerGraph,Porsche,Skoda,Tesla,Universität Konstanz,NoSQL,Airline,Security,Kayaking,,
Sharika Witkowsky,Audi,Volkswagen,Microsoft,,Universität Hamburg,AI,Airline,,Rafting,,
Carlita Guimaraes,TigerGraph,,,,Universität Leipzig,Industry trends,Airline,GSQL,Reading,Painting,
Bob Chkouri,Mercedes,Seat,Porsche,Tesla,Heinrich-Heine-Universität Düsseldorf,Analytics,,,Bicycling,Calligraphy,
Toney Corsilles,Seat,TigerGraph,Mercedes,,Universität der Bundeswehr München,Cloud,Future trends,,Paragliding,Astronomy,Scuba Diving
Ronnie Fogal,Opel,BMW,Microsoft,,Brand Academy - Hochschule für Design und Kommunikation,NoSQL,,,Relaxing,Bicycling,Gardening
Janae Gruninger,Seat,,,,Technische Universität Berlin,AI,TigerGraph,,Golf,,
Bobette Trauernicht,Volkswagen,Microsoft,,,Brand Academy - Hochschule für Design und Kommunikation,NoSQL,Analytics,Automotive,Paragliding,,
Trista Fridal,Seat,,,,Technische Universität Berlin,AI,,,Paragliding,Martial Arts,Playing music
Voncile Surkamer,Toyota,Skoda,,,Technische Universität Berlin,NoSQL,Big Data,,Cooking,,
Elyse Perret,Toyota,BMW,Tesla,,Zeppelin University,Big Data,,,Chess,Parachuting,Scuba Diving
Arlene Swensson,Opel,,,,Johannes Gutenberg-Universität Mainz,Cloud,TigerGraph,Automotive,Sailing,,
Deb Salzmann,Opel,Lexus,Volkswagen,Porsche,Universität Würzburg,Kubernetes,Airline,,Skiing,Traveling,
Clarisa Phung,Tesla,Mercedes,Toyota,Microsoft,Hochschule Neu-Ulm,Cloud,,,Kite Boarding,Cooking,Stamp Collecting
Clint Morelle,TigerGraph,Skoda,,,Hochschule Neu-Ulm,Graph Databases,Automotive,,Hiking,Bicycling,Aeromodeling
Royce Dobies,Seat,Audi,TigerGraph,Microsoft,Hochschule Landshut,Analytics,TigerGraph,Automotive,Reading,Bicycling,Playing music
Cari Mccuan,TigerGraph,BMW,,,Hochschule Macromedia,Security,,,Motorcycles,Golf,Running
Ariana Voigt,Mercedes,Volkswagen,TigerGraph,Microsoft,Universität Konstanz,Big Data,,,TV watching,,
Michale Vinagre,Toyota,Porsche,,,Zeppelin University,NoSQL,,,Golf,Parachuting,Traveling
Moshe Cibulskas,Audi,Mercedes,,,Technische Universität Darmstadt,NoSQL,Kubernetes,,Tennis,Hunting,
Eileen Retta,Skoda,,,,Technische Universität Braunschweig,Cloud,Airline,Retail,Brewing Beer,,
Ricarda Woolen,Opel,,,,Technische Universität Braunschweig,Graph Databases,Airline,Big Data,Meditation,,
Tiera Guynn,Porsche,Tesla,,,Beuth Hochschule für Technik Berlin,Analytics,Automotive,,Fishing,Meditation,
Brenda Noyd,Opel,TigerGraph,Tesla,,Universität Erfurt,NoSQL,,,Martial Arts,Kayaking,
Shawnee Atkeson,Toyota,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Kubernetes,Security,,Kite Boarding,Parachuting,Fishing
Janett Layell,Toyota,Lexus,Volkswagen,Skoda,Universität Leipzig,GSQL,,,Rafting,,
Annabell Gruenwald,Toyota,,,,Hochschule Macromedia,Cloud,,,Running,,
Cristie Benusa,Lexus,Volkswagen,Skoda,,Hochschule Fresenius,Big Data,,,Traveling,Stamp Collecting,Sailing
Zandra Shelnutt,BMW,Toyota,Audi,Skoda,Hochschule Rosenheim,AI,,,Bicycling,,
Elvis Tako,BMW,,,,Hochschule Rosenheim,Big Data,Industry trends,Retail,Relaxing,Painting,Playing music
Lionel Gotta,Audi,,,,Goethe-Universität Frankfurt am Main,Kubernetes,,,Mountain Biking,,
Libby Gaba,Opel,Volkswagen,Skoda,Mercedes,Hochschule Fresenius,NoSQL,Security,GSQL,Reading,Hunting,Basketball
Joella Schaber,Volkswagen,Microsoft,,,Universität Würzburg,AI,Airline,Automotive,Relaxing,Hunting,
Goldie Rasmuson,Seat,TigerGraph,,,Universität Stuttgart,AI,,,Golf,Parachuting,
Vera Golderer,Seat,Porsche,Audi,Volkswagen,Technische Universität Darmstadt,Cloud,AI,TigerGraph,Tennis,Astronomy,Aeromodeling
Malena Mclaughlan,Volkswagen,,,,Universität zu Köln,Graph Databases,Automotive,GSQL,Traveling,,
Wilber Giddings,Audi,Volkswagen,Microsoft,Tesla,Hochschule Neu-Ulm,GSQL,,,Parachuting,,
Mui Brogden,Toyota,Lexus,TigerGraph,Mercedes,Universität Leipzig,TigerGraph,Automotive,GSQL,Hiking,Skateboarding,
Bryce Shuster,Volkswagen,BMW,Tesla,,Hochschule Neu-Ulm,Analytics,Big Data,Automotive,Baseball,Astronomy,TV watching
Gabrielle Popovic,Volkswagen,BMW,,,Universität Hamburg,TigerGraph,Retail,,Hiking,,
Twila Quickle,Skoda,,,,Fachhochschule Dortmund,Big Data,Graph Databases,AI,Mountain Biking,Skiing,Traveling
Allen Rynne,Opel,TigerGraph,Microsoft,,Hochschule Macromedia,TigerGraph,Security,,Darts,Meditation,Bicycling
Rubye Flemming,Toyota,Lexus,BMW,Microsoft,Beuth Hochschule für Technik Berlin,TigerGraph,,,Football,Sailing,
Trudy Vassie,Seat,Porsche,Opel,Skoda,Hochschule Esslingen,Analytics,TigerGraph,,Dog walking,Chess,
Corinne Oropeza,Audi,Lexus,Porsche,Microsoft,Universität Erfurt,NoSQL,TigerGraph,,Relaxing,Astronomy,Hunting
Janell Cottman,Audi,Microsoft,,,Universität der Bundeswehr München,Analytics,Kubernetes,Big Data,Mountain Biking,,
